Field,Degree Level,Name of Degree,University name,Annual Fee,Duration,Intakes,General Entry Requirements and Documents,Language of teaching,Scholarships available
,School Level,O and A Levels,Atlas Group of Institutes,,,All Months,"UG: passport, photo, 10th, 12th. aadhar card for indian uni if you are Indian",English,
,School Level,Tuitions,Atlas Group of Institutes,,,All Months,,English,
,School Level,Private  Education,Atlas Group of Institutes,,,All Months,,English,
,OTHM Diploma,Level 5 Diploma in Education and Training,Atlas Group of Institutes,,,Jan & Sep,India: 50% marks,English,
,OTHM Diploma,Business And Technology Education Council,Atlas Group of Institutes,,,Jan & Sep,Malaysia: 60%,English,
,OTHM Diploma,Level 3 Diploma In Business Management,Atlas Group of Institutes,,,Jan & Sep,UK: pass,English,
,OTHM Diploma,Level 3 Diploma In Business Studies,Atlas Group of Institutes,,,Jan & Sep,,English,
,OTHM Diploma,Level 4 & 5 Diploma In Information Technology,Atlas Group of Institutes,,,Jan & Sep,,English,
,OTHM Diploma,Level 5 Diploma In Business Management,Atlas Group of Institutes,,,Jan & Sep,,English,
,OTHM Diploma,Level 5 Extended Diploma In Business Management,Atlas Group of Institutes,,,Jan & Sep,,English,
,OTHM Diploma,Level 5 Extended Diploma In Health and Social Management,Atlas Group of Institutes,,,Jan & Sep,,English,
,OTHM Diploma,Level 5 Extended Diploma in Logistics and Supply Chain mgmt,Atlas Group of Institutes,,,Jan & Sep,,English,
,OTHM Diploma,Level 5 Extended Diploma in Tourism and Hospitality Mgmt,Atlas Group of Institutes,,,Jan & Sep,,English,
,Professional Courses,Occupational English Test,Atlas Group of Institutes,,,All Months,,English,
,Professional Courses,Corporate Training,Atlas Group of Institutes,,,All Months,,English,
,Professional Courses,International Certification,Atlas Group of Institutes,,,All Months,,English,
,Professional Courses,Professional Courses,Atlas Group of Institutes,,,All Months,,English,
,Professional Courses,IELTS,Atlas Group of Institutes,,,All Months,,English,
,Professional Courses,Language Courses,Atlas Group of Institutes,,,All Months,,English,
,Professional Courses,Computer Courses,Atlas Group of Institutes,,,All Months,,English,
Uk program,Undergraduate,BSc(Hons) Business Management,Atlas Group of Institutes,"AED 39,500 + VAT",,"Sep, Jan & May",,English,
Uk program,Undergraduate,BEng (Hons) Software Engineering,Atlas Group of Institutes,"AED 39,500 + VAT",3 years,"Sep, Jan & May",,English,
Indian University Program,Undergraduate,Bachelor Of Business Administration,Atlas Group of Institutes,AED 15600 per year,3years,Jan & Sep,,English,
Indian University Program,Undergraduate,Bachelor Of Commerce (Accounting and Finance),Atlas Group of Institutes,AED 13600 per year,3years,Jan & Sep,,English,
Indian University Program,Undergraduate,Bcomm + ACCA,Atlas Group of Institutes,AED 21000 per year,3years,Jan & Sep,,English,
Indian University Program,Postgraduayte,Masters Of Business Administration,Atlas Group of Institutes,AED 17000 per year,2years,Jan & Sep,,English,
Indian University Program,Postgraduayte,Masters Of Business Administration (Dual Specialization),Atlas Group of Institutes,AED 17500 per year,2years,Jan & Sep,,English,
KLU University Program,Undergraduate,Bachelor of Computer Application,Atlas Group of Institutes,AED 17500 per year,3years,All Months,,English,
KLU University Program,Undergraduate,Bachelor of Business Administration,Atlas Group of Institutes,AED 17500 per year,3years,All Months,,English,
KLU University Program,Postgraduayte,Master of Business Administration,Atlas Group of Institutes,AED 17500 per year,3years,All Months,,English,
Malaysian University Program,Undergraduate,Bachelor of Business Administration,Atlas Group of Institutes,AED 12000 per year,3years,Jan & May,,English,
Malaysian University Program,Undergraduate,Bachelor of Psychology,Atlas Group of Institutes,AED 12000 per year,3years,Jan & May,,English,
Malaysian University Program,Undergraduate,Bachelor of Information Technology,Atlas Group of Institutes,AE 12000 per year,3years,Jan & May,,English,
Malaysian University Program,Undergraduate,Bachelor of Human Resource Management,Atlas Group of Institutes,,,Jan & May,,English,
Malaysian University Program,Undergraduate,Bachelor of Education,Atlas Group of Institutes,,,Jan & May,,English,
